trialNum	trialTime	param_1	param_2	difference	isCorrect	isAscending	side	scalingVal	dotSize	numPoints	dotStyle	dotHue
57	1856.0	0.646	0.6	0.04600000000000004	false	false	right	0.9	12.0	100.0	8	1
58	1128.0	0.6759999999999999	0.6	0.07599999999999996	true	false	right	0.9	12.0	100.0	8	1
59	1936.0	0.666	0.6	0.06600000000000006	true	false	left	0.9	12.0	100.0	8	1
60	1737.0	0.656	0.6	0.05600000000000005	true	false	right	0.9	12.0	100.0	8	1
61	1304.0	0.646	0.6	0.04600000000000004	false	false	right	0.9	12.0	100.0	8	1
62	1296.0	0.6759999999999999	0.6	0.07599999999999996	true	false	right	0.9	12.0	100.0	8	1
63	1240.0	0.666	0.6	0.06600000000000006	true	false	left	0.9	12.0	100.0	8	1
64	2281.0	0.656	0.6	0.05600000000000005	true	false	right	0.9	12.0	100.0	8	1
65	1144.0	0.646	0.6	0.04600000000000004	true	false	left	0.9	12.0	100.0	8	1
66	1064.0	0.636	0.6	0.03600000000000003	true	false	right	0.9	12.0	100.0	8	1
67	857.0	0.626	0.6	0.026000000000000023	false	false	right	0.9	12.0	100.0	8	1
68	1673.0	0.656	0.6	0.05600000000000005	true	false	right	0.9	12.0	100.0	8	1
69	1473.0	0.646	0.6	0.04600000000000004	true	false	left	0.9	12.0	100.0	8	1
70	1161.0	0.636	0.6	0.03600000000000003	false	false	right	0.9	12.0	100.0	8	1
71	1881.0	0.6659999999999999	0.6	0.06599999999999995	true	false	left	0.9	12.0	100.0	8	1
72	2554.0	0.656	0.6	0.05600000000000005	false	false	right	0.9	12.0	100.0	8	1
73	1008.0	0.6859999999999999	0.6	0.08599999999999997	true	false	left	0.9	12.0	100.0	8	1
74	1081.0	0.6759999999999999	0.6	0.07599999999999996	true	false	left	0.9	12.0	100.0	8	1
75	1097.0	0.6659999999999999	0.6	0.06599999999999995	true	false	left	0.9	12.0	100.0	8	1
76	1096.0	0.656	0.6	0.05600000000000005	true	false	left	0.9	12.0	100.0	8	1
77	2929.0	0.934	0.9	0.03400000000000003	true	false	right	0.9	12.0	100.0	8	1
78	1009.0	0.924	0.9	0.02400000000000002	true	false	left	0.9	12.0	100.0	8	1
79	2097.0	0.914	0.9	0.014000000000000012	true	false	right	0.9	12.0	100.0	8	1
80	2154.0	0.904	0.9	0.0040000000000000036	false	false	right	0.9	12.0	100.0	8	1
81	3898.0	0.934	0.9	0.03400000000000003	true	false	right	0.9	12.0	100.0	8	1
82	3618.0	0.924	0.9	0.02400000000000002	true	false	left	0.9	12.0	100.0	8	1
83	1409.0	0.914	0.9	0.014000000000000012	true	false	left	0.9	12.0	100.0	8	1
84	1400.0	0.904	0.9	0.0040000000000000036	true	false	right	0.9	12.0	100.0	8	1
85	1328.0	0.9	0.9	0.0	false	false	left	0.9	12.0	100.0	8	1
86	1096.0	0.93	0.9	0.030000000000000027	true	false	left	0.9	12.0	100.0	8	1
87	2890.0	0.92	0.9	0.020000000000000018	true	false	left	0.9	12.0	100.0	8	1
88	1065.0	0.91	0.9	0.010000000000000009	false	false	right	0.9	12.0	100.0	8	1
